,0,1,2,3
0,177,179,3.2,2
1,215,217,3.21,2
2,290,291,3.22,2
3,303,314,3.23,2
4,316,317,3.24,2
5,246,276,3.275986904420183,2
6,100,114,3.4181162990810376,2
7,241,273,3.7011858277760683,2
8,271,327,3.7668176593188156,3
9,2,106,3.7779949027534956,2
10,115,164,3.792188485496735,2
11,297,315,3.8251760678650175,2
12,284,328,3.8403274897668433,4
13,286,332,3.8474959369314803,5
14,277,278,3.9206732956238852,2
15,333,334,3.781650918520027,7
16,302,322,3.955788872360024,3
17,299,336,3.917668913506292,4
18,209,270,3.977471218993273,2
19,9,238,3.9893249557667354,2
20,8,133,4.008029189381839,2
21,308,337,4.030911481594609,5
22,256,257,4.045065689416453,2
23,339,342,3.876575290806848,4
24,331,341,4.070699868881372,7
25,305,309,4.0976712442157925,2
26,344,345,3.954396598872116,9
27,207,219,4.123254792816978,2
28,335,347,4.051843459932764,9
29,343,348,4.1011325166679775,13
30,213,249,4.156064425029717,2
31,198,265,4.167674662074823,2
32,252,338,4.184351270071469,3
33,279,285,4.195089477542111,2
34,350,353,3.9443830890230958,4
35,349,354,4.082130353824635,17
36,295,306,4.228572153160728,2
37,346,356,4.09014065537523,11
38,203,218,4.251874728243279,2
39,4,329,4.2638643823948055,3
40,216,248,4.274140419453795,2
41,351,360,4.229625406181068,4
42,355,361,4.097543178055675,21
43,301,304,4.316963735901387,2
44,293,363,4.306683293733269,3
45,357,364,4.289137324289099,14
46,211,255,4.3475290283371,2
47,254,366,4.339397259275604,3
48,362,367,4.224734813535688,24
49,226,272,4.38406910509009,2
50,212,253,4.402957167555941,2
51,369,370,4.298181382492216,4
52,368,371,4.149808395565593,28
53,230,352,4.433627680542493,4
54,372,373,4.441784447787137,32
55,258,264,4.455715834182509,2
56,358,375,4.3945387667342795,4
57,292,319,4.480304168125825,2
58,294,377,4.4850726543301525,3
59,376,378,4.437027655129482,7
60,365,379,4.408653459413245,21
61,251,283,4.5218949048159605,2
62,268,381,4.519871307846942,3
63,58,116,4.5438663219296895,2
64,200,244,4.554394881768131,2
65,382,384,4.526869024709098,5
66,374,385,4.239238639062764,37
67,225,227,4.588333652348425,2
68,298,311,4.60240522268559,2
69,266,274,4.613425053099879,2
70,205,275,4.6252351135143135,2
71,126,137,4.645993528956697,2
72,287,312,4.657616657386492,2
73,206,259,4.672013772022901,2
74,260,393,4.664023605134102,3
75,386,394,4.6781179486206135,40
76,250,387,4.710887571085128,3
77,33,383,4.722726389801112,3
78,395,396,4.736619803851809,43
79,197,390,4.752347844234756,3
80,398,399,4.76700530344782,46
81,144,359,4.78270375478194,4
82,300,313,4.793028517294266,2
83,388,402,4.630283780738921,4
84,380,403,4.775347390879805,25
85,60,62,4.826145808241171,2
86,208,236,4.83690226871574,2
87,234,406,4.848791138237327,3
88,400,407,4.822158075564527,49
89,261,288,4.871083154577223,2
90,289,318,4.890495809608748,2
91,392,410,4.712354051383958,4
92,404,411,4.852780903785049,29
93,307,409,4.926029536570297,3
94,204,223,4.936211537323051,2
95,413,414,4.885811269712278,5
96,408,415,4.80849098881814,54
97,247,282,4.966236945102567,2
98,231,235,4.9824309550488515,2
99,417,418,4.786060828459369,4
100,416,419,4.943989201746432,58
101,296,310,5.013851882310597,2
102,233,242,5.042457973616717,2
103,199,422,5.035177141542015,3
104,389,423,5.064573406416725,5
105,420,424,4.500856517179544,63
106,201,237,5.088491716249824,2
107,210,269,5.101143190031019,2
108,18,19,5.116397686226408,2
109,232,267,5.126809076249375,2
110,427,429,5.053323590090072,4
111,425,430,4.947495322389145,67
112,412,431,5.162323704747639,96
113,263,280,5.178603233051755,2
114,426,433,5.107920287547785,4
115,13,50,5.203893715326431,2
116,202,214,5.222349757325272,2
117,434,436,5.178724926117056,6
118,432,437,5.133106202881559,102
119,224,240,5.253333958128519,2
120,323,324,5.265566247862485,4
121,421,440,5.033480813824091,6
122,262,281,5.287557991247535,2
123,439,442,5.233203767350895,4
124,441,443,5.212701860868303,10
125,438,444,5.201974244839176,112
126,229,325,5.332962507010742,3
127,191,397,5.343280231876294,4
128,46,165,5.355176477189503,2
129,7,54,5.365730331752792,2
130,44,170,5.375977396902278,2
131,80,84,5.391622737003541,2
132,98,168,5.408116870020304,2
133,245,321,5.41914870288731,3
